Geo Point;Geo Shape;Código;Nombre;Categoria;Actividad;Dirección;Teléfono;Pagina web
4.6152509440000795,-74.07153385099991;"{""coordinates"": [-74.07153385099991, 4.6152509440000795], ""type"": ""Point""}";05180013;Escultura Nave Espacial;5;18;;;
4.597386297000071,-74.07642138699993;"{""coordinates"": [-74.07642138699993, 4.597386297000071], ""type"": ""Point""}";05180021;Estatua Tomas Cipriano de Mosquera;5;18;;;
4.602078094000092,-74.06676842199994;"{""coordinates"": [-74.06676842199994, 4.602078094000092], ""type"": ""Point""}";05180023;Estatua Ricardo Palma;5;18;;;
4.625450054000055,-74.0742060039999;"{""coordinates"": [-74.0742060039999, 4.625450054000055], ""type"": ""Point""}";05180032;Monumento al Almirante José Prudencio Padilla;5;18;;;
4.732816357000047,-74.07509518499995;"{""coordinates"": [-74.07509518499995, 4.732816357000047], ""type"": ""Point""}";05180037;Monumento 21 Ángeles;5;18;;;
4.601861040000073,-74.07187981999994;"{""coordinates"": [-74.07187981999994, 4.601861040000073], ""type"": ""Point""}";05190021;Museo del Oro;5;19;;3432222;http://www.banrepcultural.org/museo-del-oro
4.596000313000047,-74.07386256299992;"{""coordinates"": [-74.07386256299992, 4.596000313000047], ""type"": ""Point""}";05190031;Instituto Caro y Cuervo;5;19;CL 10 4 69;3422121;http://www.caroycuervo.gov.co/
4.596422266000047,-74.0745864029999;"{""coordinates"": [-74.0745864029999, 4.596422266000047], ""type"": ""Point""}";05200006;Palacio de San Carlos;5;20;CL 10 5 51;;http://www.cancilleria.gov.co/ministry/the_ministry/history/palace
4.740978096000049,-74.08384930199992;"{""coordinates"": [-74.08384930199992, 4.740978096000049], ""type"": ""Point""}";05200017;Plaza Fundacional de Suba;5;20;;;
4.824664002000077,-74.03585103099994;"{""coordinates"": [-74.03585103099994, 4.824664002000077], ""type"": ""Point""}";03080030;Club Bellavista Colsubsidio;3;8;AK 45 245 91;;http://www.clubescolsubsidio.co
4.606821057000047,-74.18556143199993;"{""coordinates"": [-74.18556143199993, 4.606821057000047], ""type"": ""Point""}";04140002;Hospital Bosa II Nivel E.S.E.;4;14;CL 65 D SUR # 79 C 90;7764003;www.esebosa.gov.co/?
4.552757338000049,-74.09441874099991;"{""coordinates"": [-74.09441874099991, 4.552757338000049], ""type"": ""Point""}";04140005;Hospital La Victoria III Nivel E.S.E.;4;14;DG 39 SUR # 3 20 ESTE;2066791;www.esevictoria.gov.co
4.559554838000054,-74.13870319299991;"{""coordinates"": [-74.13870319299991, 4.559554838000054], ""type"": ""Point""}";04140006;Hospital Meissen II Nivel ESE;4;14;KR 18 B # 60 G 36 SUR;7619082;www.hospitalmeissen.gov.co
4.696348673000045,-74.03049903999994;"{""coordinates"": [-74.03049903999994, 4.696348673000045], ""type"": ""Point""}";04140016;UPA Usaquén;4;14;KR 6 A # 119 B 14;6570050;www.hospitalusaquen.gov.co
4.562849913000093,-74.12530770199993;"{""coordinates"": [-74.12530770199993, 4.562849913000093], ""type"": ""Point""}";04140035;Hospital Tunjuelito II Nivel ESE Unidad de Medicina Interna;4;14;AV CARACAS # 51 21 SUR;2050514;www.esetunjuelito.gov.co/?
4.715287014000069,-74.14043568799991;"{""coordinates"": [-74.14043568799991, 4.715287014000069], ""type"": ""Point""}";04140065;CAMI Emaus;4;14;CL 64 C # 121 76;2295573/4;www.saludcapital.gov.co
4.649816891000057,-74.08142846699991;"{""coordinates"": [-74.08142846699991, 4.649816891000057], ""type"": ""Point""}";04140082;Clínica Federman;4;14;CL 58 A # 37 10;2213400;
4.631249572000058,-74.08546018999994;"{""coordinates"": [-74.08546018999994, 4.631249572000058], ""type"": ""Point""}";04140083;Clínica Fundadores;4;14;KR 36 # 25 C 15;3350966;http://www.mediasociados.com.co
4.588157526000089,-74.08535754399992;"{""coordinates"": [-74.08535754399992, 4.588157526000089], ""type"": ""Point""}";04140087;Hospital La Victoria III Nivel E.S.E - Sede Materno;4;14;KR 10 # 1 - 66 SUR;2805439;www.esevictoria.gov.co
4.629617207000081,-74.06720130199994;"{""coordinates"": [-74.06720130199994, 4.629617207000081], ""type"": ""Point""}";04140099;Caja de Compensación Familiar Compensar;4;14;CL 42 # 13 19;3208430;www.compensar.com/?
4.578087234000066,-74.1113061609999;"{""coordinates"": [-74.1113061609999, 4.578087234000066], ""type"": ""Point""}";04140103;Profamilia Quiroga;4;14;AV CARACAS # 31 19 SUR;2390953;
4.641996005000067,-74.06189243099993;"{""coordinates"": [-74.06189243099993, 4.641996005000067], ""type"": ""Point""}";04140105;Liga Contra el Cáncer Seccional Bogotá;4;14;CL 56 # 6 28;3458346;
4.623339408000049,-74.0826925529999;"{""coordinates"": [-74.0826925529999, 4.623339408000049], ""type"": ""Point""}";04140109;Hospital Universitario Mayor MEDERI;4;14;CL 24 29 45;;www.mederi.com.co
4.663707847000069,-74.08010953699994;"{""coordinates"": [-74.08010953699994, 4.663707847000069], ""type"": ""Point""}";04140119;Hospital Universitario Barrios Unidos Mederi;4;14;CL 66A 52 25;3290579;www.mederi.com.co
